commit	val_bpb	status	description
0237d85	15.281531	discard	experiment: increase depth to 3
local	999.000000	discard	experiment: DEPTH=2, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=4, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=4, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=4, LR=3.00e-04
local	10.557062	keep	experiment: DEPTH=2, LR=3.00e-04
local	10.476966	keep	experiment: DEPTH=2, LR=5.00e-04
local	12.193720	discard	experiment: DEPTH=3, LR=3.00e-04
local	10.877182	discard	experiment: DEPTH=3, LR=5.00e-04
local	11.365015	discard	experiment: DEPTH=4, LR=3.00e-04
local	12.201633	keep	experiment: DEPTH=2, LR=3.00e-04
local	10.662274	keep	experiment: DEPTH=2, LR=5.00e-04
local	11.774606	discard	experiment: DEPTH=3, LR=3.00e-04
local	10.302328	keep	experiment: DEPTH=3, LR=5.00e-04
local	11.363632	discard	experiment: DEPTH=4, LR=3.00e-04
local	10.904914	keep	experiment: DEPTH=2, LR=3.00e-04
local	10.411729	keep	experiment: DEPTH=2, LR=5.00e-04
local	11.940698	discard	experiment: DEPTH=3, LR=3.00e-04
local	10.352850	keep	experiment: DEPTH=3, LR=5.00e-04
local	11.604931	discard	experiment: DEPTH=4, LR=3.00e-04
local	10.921251	keep	experiment: DEPTH=2, LR=3.00e-04
local	10.010135	keep	experiment: DEPTH=2, LR=5.00e-04
local	11.489735	discard	experiment: DEPTH=3, LR=3.00e-04
local	10.187747	discard	experiment: DEPTH=3, LR=5.00e-04
local	11.615349	discard	experiment: DEPTH=4, LR=3.00e-04
local	11.872898	discard	experiment: DEPTH=2, LR=3.00e-04
local	10.496191	discard	experiment: DEPTH=2, LR=5.00e-04
local	11.791791	discard	experiment: DEPTH=3, LR=3.00e-04
local	10.657223	discard	experiment: DEPTH=3, LR=5.00e-04
local	11.247654	discard	experiment: DEPTH=2, LR=3.00e-04
local	10.826408	discard	experiment: DEPTH=2, LR=5.00e-04
local	11.780771	discard	experiment: DEPTH=3, LR=3.00e-04
local	10.455822	discard	experiment: DEPTH=3, LR=5.00e-04
local	11.627187	discard	experiment: DEPTH=4, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=4, LR=3.00e-04
local	12.692988	discard	experiment: DEPTH=2, LR=3.00e-04
local	11.250925	discard	experiment: DEPTH=2, LR=5.00e-04
local	12.206535	discard	experiment: DEPTH=3, LR=3.00e-04
local	11.017485	discard	experiment: DEPTH=3, LR=5.00e-04
local	12.025364	discard	experiment: DEPTH=4, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=2, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=3.00e-04
local	999.000000	discard	experiment: DEPTH=3, LR=5.00e-04
local	999.000000	discard	experiment: DEPTH=4, LR=3.00e-04
local	11.086574	discard	experiment: DEPTH=2, LR=3.00e-04
local	10.643501	discard	experiment: DEPTH=2, LR=5.00e-04
local	11.731737	discard	experiment: DEPTH=3, LR=3.00e-04
local	10.344403	discard	experiment: DEPTH=3, LR=5.00e-04
local	11.387502	discard	experiment: DEPTH=4, LR=3.00e-04
